"subj_idx","response","rt","Congruency","mbased_reward_prev","mbased_efficacy_prev"
8,1,0.554,"congruent",0.150783356807196,0.219358636228601
8,1,0.523,"incongruent",0.150783356807196,0.219358636228601
8,1,0.538,"congruent",0.150783356807196,0.219358636228601
8,1,0.478,"congruent",0.04209626091569,0.107237827203679
8,1,0.758,"incongruent",0.04209626091569,0.107237827203679
8,1,0.594,"incongruent",0.04209626091569,0.107237827203679
8,0,0.538,"incongruent",0.04209626091569,0.107237827203679
8,1,0.84,"incongruent",0.00162557538057645,0.021493438501869
8,1,0.547,"congruent",0.00162557538057645,0.021493438501869
8,1,0.555,"congruent",0.00162557538057645,0.021493438501869
8,1,0.58,"incongruent",0.00162557538057645,0.021493438501869
8,1,0.809,"incongruent",0.0130004901784122,0.0908744018049865
8,1,0.575,"congruent",0.0130004901784122,0.0908744018049865
8,1,0.574,"congruent",0.0130004901784122,0.0908744018049865
8,1,0.606,"incongruent",0.0130004901784122,0.0908744018049865
8,1,0.582,"incongruent",0.0130004901784122,0.0908744018049865
8,1,0.593,"congruent",0.0130004901784122,0.0908744018049865
8,1,0.648,"incongruent",0.156087418806817,0.146281345289223
8,1,0.559,"congruent",0.156087418806817,0.146281345289223
8,1,0.678,"incongruent",0.156087418806817,0.146281345289223
8,1,0.538,"incongruent",0.156087418806817,0.146281345289223
8,1,0.523,"congruent",0.156087418806817,0.146281345289223
8,1,0.676,"incongruent",0.156087418806817,0.146281345289223
8,1,0.632,"congruent",0.110482926832097,0.0513519689577892
8,1,0.726,"incongruent",0.110482926832097,0.0513519689577892
8,1,0.543,"congruent",0.110482926832097,0.0513519689577892
8,1,0.701,"incongruent",-0.017344088395342,-0.021245271591675
8,1,0.585,"congruent",-0.017344088395342,-0.021245271591675
8,1,0.574,"congruent",-0.017344088395342,-0.021245271591675
8,1,0.838,"congruent",-0.0706500038371319,-0.0767640113018777
8,1,0.602,"incongruent",-0.0706500038371319,-0.0767640113018777
8,1,0.586,"incongruent",-0.0706500038371319,-0.0767640113018777
8,1,0.743,"incongruent",-0.0706500038371319,-0.0767640113018777
8,1,0.752,"incongruent",-0.0739820697626659,-0.119221967495255
8,1,0.586,"congruent",-0.0739820697626659,-0.119221967495255
8,1,0.79,"incongruent",-0.0739820697626659,-0.119221967495255
8,1,0.724,"congruent",-0.0739820697626659,-0.119221967495255
8,1,0.635,"incongruent",-0.076216553172329,-0.151691689494141
8,1,0.652,"congruent",-0.076216553172329,-0.151691689494141
8,1,0.498,"congruent",-0.076216553172329,-0.151691689494141
8,1,0.767,"incongruent",-0.076216553172329,-0.151691689494141
8,1,0.56,"congruent",-0.076216553172329,-0.151691689494141
8,1,0.581,"incongruent",-0.076216553172329,-0.151691689494141
8,1,0.614,"congruent",0.13023945700724,-0.176522909392788
8,0,0.611,"incongruent",0.13023945700724,-0.176522909392788
8,1,0.745,"incongruent",0.13023945700724,-0.176522909392788
8,1,0.574,"congruent",0.13023945700724,-0.176522909392788
8,1,0.509,"congruent",0.13023945700724,-0.176522909392788
8,0,0.734,"incongruent",0.13023945700724,-0.176522909392788
8,1,0.765,"incongruent",0.125564164619031,-0.195512584810279
8,1,0.711,"congruent",0.125564164619031,-0.195512584810279
8,1,0.675,"congruent",0.0251842706343065,-0.210034939085805
8,1,0.589,"congruent",0.0251842706343065,-0.210034939085805
8,1,0.649,"congruent",-0.0421304862718497,-0.221140909518014
8,1,0.76,"incongruent",-0.0421304862718497,-0.221140909518014
8,1,0.59,"incongruent",-0.0421304862718497,-0.221140909518014
8,1,1.044,"congruent",0.0702191781530593,-0.229634200406045
8,1,0.8,"incongruent",0.0702191781530593,-0.229634200406045
8,1,0.538,"congruent",0.0702191781530593,-0.229634200406045
8,1,0.612,"congruent",0.0204848036799563,-0.236129444612667
8,1,0.624,"incongruent",0.0204848036799563,-0.236129444612667
8,1,0.729,"congruent",0.0204848036799563,-0.236129444612667
8,1,0.67,"incongruent",0.0204848036799563,-0.236129444612667
8,1,0.581,"congruent",0.0204848036799563,-0.236129444612667
8,0,0.63,"incongruent",0.0204848036799563,-0.236129444612667
8,1,0.632,"congruent",0.0883600799578965,-0.114860656421451
