"subj_idx","response","rt","Congruency","mbased_reward_prev","mbased_efficacy_prev"
6,1,0.713,"incongruent",0.207528641429265,0.118422211983419
6,1,1.022,"congruent",0.207528641429265,0.118422211983419
6,1,0.509,"congruent",0.205214483847689,0.00504001825833732
6,1,1.318,"incongruent",0.205214483847689,0.00504001825833732
6,1,0.565,"incongruent",0.205214483847689,0.00504001825833732
6,1,0.59,"congruent",0.205214483847689,0.00504001825833732
6,1,0.582,"congruent",0.205396052914014,-0.0796791568930439
6,1,0.718,"incongruent",0.205396052914014,-0.0796791568930439
6,1,0.757,"congruent",0.205396052914014,-0.0796791568930439
6,1,0.606,"incongruent",0.205396052914014,-0.0796791568930439
6,1,1.227,"congruent",0.205577439594212,0.0420176233855096
6,0,0.549,"incongruent",0.205577439594212,0.0420176233855096
6,1,0.824,"incongruent",0.205577439594212,0.0420176233855096
6,1,0.797,"congruent",0.205577439594212,0.0420176233855096
6,1,0.875,"congruent",0.203282597544962,0.121380961676366
6,0,1.11,"incongruent",0.203282597544962,0.121380961676366
6,1,0.887,"incongruent",0.203282597544962,0.121380961676366
6,1,0.582,"incongruent",0.203282597544962,0.121380961676366
6,1,0.528,"congruent",0.203466107191078,0.00725079602890681
6,1,0.663,"incongruent",0.203466107191078,0.00725079602890681
6,1,0.833,"congruent",0.201192165854687,-0.0780272637428743
6,1,0.999,"incongruent",0.201192165854687,-0.0780272637428743
6,1,0.889,"incongruent",0.198940734945767,-0.141747030004349
6,1,0.751,"congruent",0.198940734945767,-0.141747030004349
6,1,0.589,"congruent",0.198940734945767,-0.141747030004349
6,1,1.011,"incongruent",0.196711591626843,-0.189358439354923
6,1,0.622,"congruent",0.196711591626843,-0.189358439354923
6,1,0.566,"congruent",0.196711591626843,-0.189358439354923
6,1,1.182,"incongruent",0.196901701848404,-0.224933684421672
6,1,0.638,"congruent",0.196901701848404,-0.224933684421672
6,1,1.414,"congruent",0.196901701848404,-0.224933684421672
6,1,0.815,"congruent",0.19750568738372,-0.251515507535547
6,1,1.166,"incongruent",0.19750568738372,-0.251515507535547
6,1,0.655,"incongruent",0.19750568738372,-0.251515507535547
6,1,0.654,"incongruent",0.19750568738372,-0.251515507535547
6,1,0.978,"incongruent",0.198109066215565,-0.271377445766234
6,1,0.599,"congruent",0.198109066215565,-0.271377445766234
6,1,0.934,"incongruent",0.195888155834903,-0.286218286012204
6,1,0.549,"congruent",0.189608627308205,-0.297307361843992
6,0,0.455,"incongruent",0.189608627308205,-0.297307361843992
6,1,0.573,"congruent",0.189608627308205,-0.297307361843992
6,0,0.471,"incongruent",0.189608627308205,-0.297307361843992
6,1,0.478,"congruent",0.189805872457424,-0.305593119305504
6,1,0.775,"incongruent",0.189805872457424,-0.305593119305504
6,1,0.622,"congruent",0.189805872457424,-0.305593119305504
6,1,0.639,"incongruent",0.189805872457424,-0.305593119305504
