17851:TSS_LFXC20201030,initialized,0,,1604094152941
17851:TSS_LFXC20201030,window_resize,0,"[1440, 837]",1604094152941
17851:TSS_LFXC20201030,window_resize,180774,"[1440, 900]",1604094333715
17851:TSS_LFXC20201030,focus,18745,off,1604094352460
17851:TSS_LFXC20201030,focus,1,on,1604094352461
17851:TSS_LFXC20201030,window_resize,200,"[1440, 837]",1604094352661
17851:TSS_LFXC20201030,window_resize,129666,"[1440, 900]",1604094482327
17851:TSS_LFXC20201030,focus,167675,off,1604094650002
17851:TSS_LFXC20201030,focus,0,on,1604094650002
17851:TSS_LFXC20201030,window_resize,201,"[1440, 837]",1604094650203
17851:TSS_LFXC20201030,focus,11542,off,1604094661745
17851:TSS_LFXC20201030,focus,1,on,1604094661746
17851:TSS_LFXC20201030,focus,68563,off,1604094730309
17851:TSS_LFXC20201030,focus,1,on,1604094730310
17851:TSS_LFXC20201030,focus,119816,off,1604094850126
17851:TSS_LFXC20201030,focus,0,on,1604094850126
17851:TSS_LFXC20201030,focus,7173,off,1604094857299
17851:TSS_LFXC20201030,focus,0,on,1604094857299
17851:TSS_LFXC20201030,focus,9913,off,1604094867212
17851:TSS_LFXC20201030,focus,0,on,1604094867212
17851:TSS_LFXC20201030,focus,5131,off,1604094872343
17851:TSS_LFXC20201030,focus,0,on,1604094872343
17851:TSS_LFXC20201030,window_resize,1949929,"[1440, 900]",1604096822272
17741:TSS_LFXC20201030,initialized,0,,1604095681932
17741:TSS_LFXC20201030,window_resize,0,"[1024, 767]",1604095681932
17741:TSS_LFXC20201030,window_resize,43096,"[1251, 767]",1604095725028
17741:TSS_LFXC20201030,window_resize,513,"[1263, 767]",1604095725541
17741:TSS_LFXC20201030,window_resize,176588,"[1440, 900]",1604095902129
17741:TSS_LFXC20201030,focus,331007,off,1604096233136
17741:TSS_LFXC20201030,focus,183,on,1604096233319
17741:TSS_LFXC20201030,window_resize,23,"[1263, 767]",1604096233342
17741:TSS_LFXC20201030,window_resize,121763,"[1440, 900]",1604096355105
17741:TSS_LFXC20201030,focus,85155,off,1604096440260
17741:TSS_LFXC20201030,focus,183,on,1604096440443
17741:TSS_LFXC20201030,window_resize,24,"[1263, 767]",1604096440467
17741:TSS_LFXC20201030,focus,5378,off,1604096445845
17741:TSS_LFXC20201030,focus,180,on,1604096446025
17741:TSS_LFXC20201030,focus,15818,off,1604096461843
17741:TSS_LFXC20201030,focus,176,on,1604096462019
17741:TSS_LFXC20201030,window_resize,71758,"[1440, 900]",1604096533777
17741:TSS_LFXC20201030,window_resize,67382,"[1263, 767]",1604096601159
17741:TSS_LFXC20201030,window_resize,25212,"[1357, 767]",1604096626371
17741:TSS_LFXC20201030,window_resize,2246,"[1440, 767]",1604096628617
17741:TSS_LFXC20201030,window_resize,44415,"[1440, 900]",1604096673032
17807:TSS_LFXC20201030,initialized,0,,1604096835166
17807:TSS_LFXC20201030,window_resize,1,"[1536, 764]",1604096835167
17807:TSS_LFXC20201030,focus,16564,on,1604096851731
17807:TSS_LFXC20201030,window_resize,2,"[1536, 764]",1604096851733
17807:TSS_LFXC20201030,focus,3498,off,1604096855231
17807:TSS_LFXC20201030,focus,35769,on,1604096891000
17807:TSS_LFXC20201030,window_resize,186136,"[1536, 864]",1604097077136
