session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current U.S state of residence,Employment Status,First Language,Nationality,Sex,Student Status,Vision
60ef5a000550d0fa9e8a9830,601c4c5d32968172b3d4c780,APPROVED,2021-07-14 21:41:25.384000,2021-07-14 22:53:43.189000,4337.805,34,290,0,100,2021-07-15 14:14:45.999000,2C95CFEE,United States,United States,Minnesota (MN),Unemployed (and job seeking),English,United States,Male,No,Yes
60ef5a09260a62cc6f978f14,5d7945fd5240da0019878dff,APPROVED,2021-07-14 21:41:32.856000,2021-07-14 22:58:27.816000,4614.96,51,321,1,100,2021-07-15 14:14:47.688000,2C95CFEE,Vietnam,United States,Texas (TX),DATA EXPIRED,Vietnamese,United States,Female,DATA EXPIRED,Yes
60ef5b101f07fa97f2cdf415,60ebb41892f2d0a6c28a8bff,APPROVED,2021-07-14 21:45:59.947000,2021-07-14 22:52:20.453000,3980.506,20,53,0,100,2021-07-15 14:14:49.740000,2C95CFEE,China,United States,New York (NY),Unemployed (and job seeking),Chinese,United States,Male,Yes,Yes
60ef5beda9d9a5ccd8baf4c4,5fb93955fec8e17451e22dce,TIMED-OUT,2021-07-14 21:49:41.788000,,60835.241211,23,216,0,100,,,Greece,Greece,Georgia (GA),Part-Time,Greek,United States,Male,Yes,Yes
60ef5c05fa22abc62053eeb6,5e1508eb18e869b078576e94,APPROVED,2021-07-14 21:50:02.069000,2021-07-15 00:02:37.656000,7955.587,28,663,0,100,2021-07-15 14:14:50.881000,2C95CFEE,United States,United States,California (CA),Full-Time,English,United States,Female,Yes,Yes
60ef5c094d93fe725451fe5f,60e657938cf62fc6336423bb,APPROVED,2021-07-14 21:50:05.457000,2021-07-14 23:14:18.085000,5052.628,37,34,0,100,2021-07-15 14:14:53.940000,2C95CFEE,United States,United States,New York (NY),Full-Time,English,United States,Female,Yes,Yes
60ef5d490df98c997070b226,60ee6e0c50a6efeacce98e54,RETURNED,2021-07-14 21:55:24.175000,,60492.911137,33,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ef5d4e29ad00744277af0f,5e67be9dbb1b580399389b4a,RETURNED,2021-07-14 21:55:28.908000,,60488.200733,25,167,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ef5da95f9b7f24e8018860,5c070a6576781b0001c82633,APPROVED,2021-07-14 21:59:14.437000,2021-07-14 23:06:55.778000,4061.341,33,686,0,100,2021-07-15 14:14:55.473000,2C95CFEE,United States,United States,Mississippi (MS),Full-Time,English,United States,Male,No,Yes
60ef5dbd4ffc2597d734f33a,60e67fac8d116bb293e74eda,APPROVED,2021-07-14 21:57:24.176000,2021-07-14 23:06:26.060000,4141.884,22,34,0,100,2021-07-15 14:14:58.612000,2C95CFEE,United States,United States,Texas (TX),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No,Yes
60ef5e8f6b118b641c4a9798,60ec64629f97ee32612b8eec,APPROVED,2021-07-14 22:00:58.816000,2021-07-14 23:23:13.622000,4934.806,27,21,0,100,2021-07-15 14:15:00.227000,2C95CFEE,United States,United States,Illinois (IL),Full-Time,Spanish,United States,Female,No,Yes
