session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current U.S state of residence,Employment Status,First Language,Nationality,Sex,Student Status,Vision
60b7a9d9448629ba40b76447,5b06c54e383b80000115405b,APPROVED,2021-06-02 15:55:10.680000,2021-06-02 16:55:39.992000,3629.312,24,760,1,100,2021-06-03 17:19:57.061000,2C95CFEE,United States,United States,Illinois (IL),Unemployed (and job seeking),DATA EXPIRED,United States,Female,No,Yes
60b7c3d05790b8329ad7b97f,5e2a43116a126f0a33059175,RETURNED,2021-06-02 17:46:02.751000,,85098.022557,20,328,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60b7c515305ab9833cdebf36,599a75746b939900012da22b,APPROVED,2021-06-02 17:51:21.308000,2021-06-02 18:56:20.360000,3899.052,34,274,4,99,2021-06-03 17:20:00.344000,2C95CFEE,United States,United States,California (CA),DATA EXPIRED,DATA EXPIRED,United States,Female,DATA EXPIRED,Yes
60b7c928f90de00865e5dbf9,5e70bf61017e070009a8a738,APPROVED,2021-06-02 18:08:43.924000,2021-06-02 19:25:41.723000,4617.799,23,629,0,100,2021-06-03 17:20:02.452000,2C95CFEE,United States,United States,Tennessee (TN),DATA EXPIRED,DATA EXPIRED,United States,Female,DATA EXPIRED,Yes
60b7d7ea0e7020989e2701ad,5a94ca1a873cda0001dc7147,RETURNED,2021-06-02 19:11:41.495000,,79959.331522,30,720,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60b7d892f13312be73f66682,5b5d13d25256470001bc5ef2,APPROVED,2021-06-02 19:14:29.757000,2021-06-02 21:20:08.426000,7538.669,25,978,4,100,2021-06-03 17:20:05.459000,2C95CFEE,United States,United States,Texas (TX),DATA EXPIRED,DATA EXPIRED,United States,Male,No,Yes
60b7d9359cdbf23ba8e835eb,60270575bdf57648f8ca9b7d,APPROVED,2021-06-02 19:23:38.609000,2021-06-02 20:47:13.156000,5014.547,36,46,0,100,2021-06-03 17:20:09.412000,2C95CFEE,Poland,Poland,Texas (TX),Full-Time,DATA EXPIRED,Poland,Male,No,Yes
60b7dd152fc8ac3d6c1c0d1a,5d558ebe886e3f0020e90fce,APPROVED,2021-06-02 19:36:55.965000,2021-06-02 20:47:56.298000,4260.333,31,470,0,100,2021-06-03 17:20:10.973000,2C95CFEE,United States,United States,Michigan (MI),DATA EXPIRED,DATA EXPIRED,United States,Female,DATA EXPIRED,Yes
60b7e03db205a31e507c258e,60b7a77ccd6f5c19f13e83e6,APPROVED,2021-06-02 19:47:11.457000,2021-06-02 20:52:48.079000,3936.622,27,26,0,100,2021-06-03 17:20:14.092000,2C95CFEE,United States,United States,New York (NY),Unemployed (and job seeking),DATA EXPIRED,United States,Female,No,Yes
60b7e366bf191624e9caf3ae,5c483b61c0fdf700013b99cb,RETURNED,2021-06-02 20:09:15.722000,,76505.187527,42,304,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60b7e4566b3aefc5cc297645,5e7262299af97605a7e4a911,APPROVED,2021-06-02 20:04:41.784000,2021-06-02 21:46:31.817000,6110.033,24,129,0,100,2021-06-03 17:20:15.691000,2C95CFEE,United States,United States,Florida (FL),Part-Time,DATA EXPIRED,United States,Female,No,Yes
60b7e61b9020a7cbd1299cb0,60b675f26a586f22d6c47e29,RETURNED,2021-06-02 20:12:17.823000,,76323.119067,27,22,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60b7e7c7df3106ed0e3df49f,5c7b6606edd568001200fa9c,APPROVED,2021-06-02 20:19:32.994000,2021-06-02 21:23:03.897000,3810.903,22,719,1,100,2021-06-03 17:20:17.012000,2C95CFEE,United States,United States,Georgia (GA),"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,Yes,Yes
60b7ebc41506301a5c73d1a5,5f1338a87447d0308e865fd0,RETURNED,2021-06-02 20:36:24.919000,,74876.052165,19,470,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60b7ef3f2d1d53a46bc90a44,5b33034d975e260001e981c9,RETURNED,2021-06-02 21:02:00.038000,,73340.948902,25,586,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60b7f4cc0fbc924c561755f6,60b5b5c3c82bf93862a9246c,APPROVED,2021-06-02 21:15:01.136000,2021-06-02 22:27:30.641000,4349.505,34,14,0,100,2021-06-03 17:20:20.199000,2C95CFEE,United States,United States,Virginia (VA),Full-Time,DATA EXPIRED,United States,Male,No,Yes
60b81596a7e9809f07277fbd,5c747b0f181ad300113363ed,APPROVED,2021-06-02 23:34:57.288000,2021-06-03 00:42:21.144000,4043.856,44,1079,4,100,2021-06-03 17:20:21.587000,2C95CFEE,United States,United States,Florida (FL),DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED,Yes
